id,provstate,city,latitude,longitude,doubtterr,success,attacktype1_txt,targtype1_txt,natlty1_txt,gname,claimed,weaptype1_txt,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,president_party,state_governor_party,date,Total Casualties
57,Ohio,Cleveland,41.479561,-81.675461,FALSE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/18/1970,0
58,California,Vallejo,38.10083,-122.254954,FALSE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",2/18/1970,0
59,Connecticut,Hartford,41.763325,-72.674069,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,TRUE,Incendiary,0,0,0,0,0,0,Republican,Democrat,2/20/1970,0
60,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/20/1970,0
61,Washington,Seattle,47.610786,-122.331306,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,Student Radicals,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/20/1970,0
62,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Facility/Infrastructure Attack,Police,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/21/1970,0
63,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/21/1970,0
64,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,"Weather Underground, Weathermen",TRUE,Explosives,0,0,0,0,0,0,Republican,Republican,2/21/1970,0
65,Colorado,Denver,39.758968,-104.876305,FALSE,TRUE,Facility/Infrastructure Attack,Private Citizens & Property,United States,Black Nationalists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/21/1970,0
66,New York,Ithaca,42.455233,-76.475847,FALSE,TRUE,Facility/Infrastructure Attack,Educational Institution,United States,White extremists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/22/1970,0
67,Wisconsin,Prairie du Sac,43.287052,-89.724361,FALSE,FALSE,Bombing/Explosion,Utilities,United States,New Year's Gang,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/22/1970,0
68,Nebraska,South Sioux City,42.47031,-96.413949,FALSE,TRUE,Bombing/Explosion,Utilities,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/23/1970,0
69,Nebraska,South Sioux City,42.47031,-96.413949,FALSE,TRUE,Bombing/Explosion,Utilities,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/23/1970,0
70,Nebraska,South Sioux City,42.47031,-96.413949,FALSE,TRUE,Bombing/Explosion,Utilities,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/23/1970,0
71,Nebraska,South Sioux City,42.47031,-96.413949,FALSE,TRUE,Bombing/Explosion,Utilities,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/23/1970,0
72,Arizona,Tucson,32.222232,-110.925752,FALSE,TRUE,Bombing/Explosion,Military,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/23/1970,0
73,Colorado,Denver,39.758968,-104.876305,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,White extremists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/24/1970,0
74,Illinois,Champaign,40.101952,-88.227161,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,2/24/1970,0
75,Colorado,Boulder,40.007581,-105.265942,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,Student Radicals,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,2/27/1970,0
76,Colorado,Boulder,40.007581,-105.265942,FALSE,TRUE,Bombing/Explosion,Military,United States,Student Radicals,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/1/1970,0
77,Colorado,Colorado Springs,38.864281,-104.778412,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,3/1/1970,0
78,Colorado,Boulder,40.007581,-105.265942,FALSE,TRUE,Facility/Infrastructure Attack,Police,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,3/1/1970,0
79,Colorado,Boulder,40.014986,-105.270546,FALSE,TRUE,Bombing/Explosion,Police,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/1/1970,0
80,Ohio,Cleveland,41.479561,-81.675461,FALSE,TRUE,Facility/Infrastructure Attack,Private Citizens & Property,United States,Black Nationalists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,3/2/1970,0
81,Colorado,Denver,39.758968,-104.876305,TRUE,TRUE,Bombing/Explosion,Private Citizens & Property,NA,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/3/1970,0
82,Washington,Seattle,47.610786,-122.331306,FALSE,TRUE,Bombing/Explosion,Government (General),United States,Student Radicals,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/3/1970,0
83,California,Oakland,37.791927,-122.225906,FALSE,FALSE,Bombing/Explosion,Military,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",3/4/1970,0
84,California,Martinez,38.019304,-122.134062,TRUE,FALSE,Bombing/Explosion,Transportation,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",3/4/1970,0
85,Colorado,Denver,39.758968,-104.876305,TRUE,TRUE,Bombing/Explosion,Private Citizens & Property,NA,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/4/1970,0
86,Washington,Seattle,47.610786,-122.331306,TRUE,TRUE,Bombing/Explosion,Government (General),United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/5/1970,0
87,Colorado,Denver,39.758968,-104.876305,TRUE,TRUE,Bombing/Explosion,Private Citizens & Property,NA,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/5/1970,0
88,Puerto Rico,San Juan,18.386932,-66.061127,FALSE,TRUE,Assassination,Military,United States,Armed Commandos of Liberation,FALSE,Firearms,2,2,0,0,0,0,Republican,New Progressive Party,3/5/1970,2
89,Michigan,Detroit,42.331685,-83.047924,FALSE,FALSE,Bombing/Explosion,Police,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/6/1970,0
90,Michigan,Detroit,42.331685,-83.047924,FALSE,FALSE,Bombing/Explosion,Police,United States,"Weather Underground, Weathermen",FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/6/1970,0
91,California,Berkeley,37.874043,-122.280022,NA,TRUE,Facility/Infrastructure Attack,Educational Institution,United States,NA,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",3/9/1970,0
92,Alabama,Ashville,33.83651,-86.254749,FALSE,TRUE,Facility/Infrastructure Attack,Private Citizens & Property,United States,Ku Klux Klan,FALSE,Chemical,0,0,0,0,0,0,Republican,Democrat,3/9/1970,0
93,Connecticut,Bridgeport,41.18188,-73.191269,TRUE,TRUE,Facility/Infrastructure Attack,Religious Figures/Institutions,United States,White extremists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Democrat,3/9/1970,0
94,New Mexico,Albuquerque,35.084319,-106.619781,FALSE,FALSE,Bombing/Explosion,Military,United States,White extremists,FALSE,Explosives,0,0,0,0,0,0,Republican,NA,3/9/1970,0
95,Maryland,Bel Air,39.53894,-76.348479,FALSE,FALSE,Bombing/Explosion,Business,United States,Black Nationalists,FALSE,Explosives,2,2,2,0,0,0,Republican,Democrat,3/9/1970,2
96,Maryland,Cambridge,38.563122,-76.078063,FALSE,TRUE,Bombing/Explosion,Government (General),United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Democrat,3/10/1970,0
97,California,San Francisco,37.755363,-122.443352,FALSE,FALSE,Facility/Infrastructure Attack,Business,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,"Democrat, Republican",3/10/1970,0
98,Illinois,Champaign,40.102408,-88.227159,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,3/11/1970,0
99,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,United States,Revolutionary Force 9,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/12/1970,0
100,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,United States,Revolutionary Force 9,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/12/1970,0
101,Illinois,Chicago,41.842602,-87.681229,TRUE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/12/1970,0
102,Illinois,Chicago,41.842602,-87.681229,TRUE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/12/1970,0
103,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,United States,Revolutionary Force 9,TRUE,Explosives,0,0,0,0,0,0,Republican,Republican,3/12/1970,0
104,Wisconsin,Appleton,44.260288,-88.397455,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,3/13/1970,0
105,Wisconsin,Appleton,44.268598,-88.42844,FALSE,TRUE,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,3/13/1970,0
106,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Bombing/Explosion,Military,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/14/1970,0
107,California,Long Beach,33.766725,-118.192399,FALSE,TRUE,Hijacking,Military,United States,Left-Wing Militants,FALSE,Firearms,0,0,0,0,0,0,Republican,"Democrat, Republican",3/14/1970,0
108,Puerto Rico,San Juan,18.386932,-66.061127,FALSE,TRUE,Bombing/Explosion,Business,United States,Puerto Rican Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,New Progressive Party,3/15/1970,0
109,Montana,Billings,45.783975,-108.505794,TRUE,TRUE,Bombing/Explosion,Police,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Democrat,3/15/1970,0
110,California,San Bernardino,34.105245,-117.294124,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,White extremists,FALSE,Incendiary,0,0,0,1,1,0,Republican,"Democrat, Republican",3/16/1970,1
111,California,Los Angeles,34.097866,-118.407379,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,Chicano Liberation Front,TRUE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",3/17/1970,0
112,Ohio,Lockland,39.226835,-84.453309,TRUE,TRUE,Bombing/Explosion,Utilities,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/18/1970,0
113,Oregon,Portland,45.511795,-122.675629,FALSE,FALSE,Bombing/Explosion,Military,United States,White extremists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,3/20/1970,0
114,Michigan,Detroit,42.331685,-83.047924,TRUE,TRUE,Assassination,Private Citizens & Property,United States,White extremists,FALSE,Firearms,1,1,0,0,0,0,Republican,Republican,3/20/1970,1
115,District of Columbia,Washington,38.908642,-77.015381,FALSE,FALSE,Bombing/Explosion,Government (General),United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,NA,3/21/1970,0
116,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Facility/Infrastructure Attack,Business,United States,Puerto Rican Resistance Movement,TRUE,Incendiary,0,0,0,0,0,0,Republican,Republican,3/21/1970,0
117,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Facility/Infrastructure Attack,Business,United States,Puerto Rican Resistance Movement,TRUE,Incendiary,0,0,0,1,1,0,Republican,Republican,3/21/1970,1
118,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,United States,Black Panthers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/22/1970,0
119,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Bombing/Explosion,Business,United States,Black Panthers,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/22/1970,0
120,New York,New York City,40.697132,-73.931351,FALSE,TRUE,Bombing/Explosion,Business,United States,Black Panthers,FALSE,Explosives,0,0,0,17,17,0,Republican,Republican,3/22/1970,17
121,Florida,Orlando,28.538235,-81.377389,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,Strikers,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",3/23/1970,0
122,New York,New York City,40.697132,-73.931351,TRUE,TRUE,Bombing/Explosion,Business,United States,NA,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/24/1970,0
123,Ohio,Cleveland,41.479561,-81.675461,FALSE,TRUE,Bombing/Explosion,Private Citizens & Property,United States,White extremists,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/24/1970,0
124,California,Richmond,37.93781,-122.342709,FALSE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",3/24/1970,0
125,California,San Francisco,37.755363,-122.443352,FALSE,TRUE,Bombing/Explosion,Police,United States,Black Nationalists,FALSE,Explosives,0,0,0,0,0,0,Republican,"Democrat, Republican",3/27/1970,0
126,Illinois,Biggsville,40.85122,-90.864369,FALSE,TRUE,Facility/Infrastructure Attack,Government (General),United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,3/30/1970,0
127,Georgia,Fort Benning,32.3575,-84.95623,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Left-Wing Militants,FALSE,Incendiary,0,0,0,0,0,0,Republican,Democrat,3/30/1970,0
128,District of Columbia,Washington,38.908642,-77.015381,FALSE,FALSE,Bombing/Explosion,Government (General),United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,NA,3/31/1970,0
129,Washington,Seattle,47.610786,-122.331306,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,Student Radicals,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,3/31/1970,0
130,Michigan,East Lansing,42.7375,-84.483779,FALSE,TRUE,Bombing/Explosion,Educational Institution,United States,Student Radicals,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,4/1/1970,0
131,New York,Ithaca,42.455233,-76.475847,FALSE,TRUE,Facility/Infrastructure Attack,Educational Institution,United States,White extremists,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,4/1/1970,0
132,Texas,Houston,29.813822,-95.365295,FALSE,TRUE,Facility/Infrastructure Attack,Military,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Democrat,4/1/1970,0
133,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Bombing/Explosion,Business,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,4/2/1970,0
134,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Bombing/Explosion,Business,Puerto Rico,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,4/4/1970,0
135,New York,New York City,40.697132,-73.931351,FALSE,FALSE,Bombing/Explosion,Private Citizens & Property,United States,Left-Wing Militants,FALSE,Explosives,0,0,0,0,0,0,Republican,Republican,4/4/1970,0
136,Washington,Pullman,46.731958,-117.162603,TRUE,TRUE,Facility/Infrastructure Attack,Educational Institution,United States,Student Radicals,FALSE,Incendiary,0,0,0,0,0,0,Republican,Republican,4/4/1970,0
